,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 16,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Corregimiento 50,Corregimiento 60,Corregimiento 70,Corregimiento 80,Corregimiento 90,Fecha
57,2.0,20.0,4.0,0.0,0.0,2.0,6.0,2.0,1.0,4.0,8.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,2015-02-27
58,3.0,9.0,6.0,0.0,1.0,5.0,8.0,1.0,0.0,2.0,1.0,3.0,3.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2015-02-28
59,2.0,12.0,3.0,1.0,1.0,3.0,11.0,5.0,1.0,1.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,1.0,0.0,2015-03-01
60,1.0,14.0,1.0,0.0,0.0,8.0,4.0,3.0,0.0,5.0,0.0,6.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,2015-03-02
61,5.0,11.0,5.0,0.0,3.0,7.0,5.0,4.0,0.0,2.0,2.0,2.0,12.0,1.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,2015-03-03
62,3.0,20.0,1.0,3.0,0.0,7.0,2.0,3.0,1.0,3.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2015-03-04
63,0.0,10.0,7.0,1.0,4.0,1.0,6.0,4.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2015-03-05
64,5.0,18.0,3.0,0.0,3.0,1.0,6.0,4.0,0.0,0.0,4.0,2.0,1.0,4.0,7.0,3.0,0.0,1.0,1.0,6.0,0.0,2015-03-06
65,2.0,14.0,5.0,2.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2015-03-07
66,1.0,15.0,3.0,0.0,0.0,6.0,3.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,2015-03-08
67,5.0,20.0,4.0,0.0,1.0,5.0,7.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2015-03-09
68,1.0,15.0,5.0,1.0,2.0,5.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,2015-03-10
69,1.0,19.0,5.0,1.0,2.0,4.0,1.0,3.0,0.0,3.0,2.0,8.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,2015-03-11
70,8.0,21.0,4.0,2.0,9.0,3.0,7.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,2.0,0.0,2015-03-12
71,1.0,13.0,2.0,2.0,1.0,3.0,11.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2015-03-13
72,4.0,17.0,5.0,1.0,0.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2015-03-14
