,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 16,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Corregimiento 50,Corregimiento 60,Corregimiento 70,Corregimiento 80,Corregimiento 90,Fecha
96,0.0,23.0,11.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,5.0,5.0,2.0,8.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2015-04-07
97,0.0,24.0,5.0,1.0,3.0,4.0,3.0,10.0,0.0,0.0,2.0,5.0,1.0,11.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2015-04-08
98,2.0,25.0,6.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2015-04-09
99,3.0,18.0,6.0,5.0,4.0,2.0,2.0,4.0,0.0,0.0,10.0,1.0,1.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-04-10
100,4.0,26.0,2.0,7.0,0.0,10.0,0.0,2.0,0.0,1.0,5.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-04-11
101,0.0,17.0,7.0,2.0,0.0,6.0,0.0,3.0,6.0,1.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-04-12
102,1.0,21.0,1.0,5.0,3.0,3.0,11.0,2.0,2.0,1.0,3.0,8.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2015-04-13
103,0.0,28.0,5.0,3.0,1.0,2.0,0.0,11.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-04-14
104,2.0,31.0,7.0,4.0,0.0,9.0,2.0,13.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-04-15
105,0.0,22.0,9.0,3.0,2.0,6.0,2.0,9.0,0.0,0.0,4.0,6.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2015-04-16
106,0.0,15.0,7.0,1.0,1.0,3.0,2.0,7.0,0.0,1.0,6.0,6.0,0.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,2015-04-17
107,2.0,25.0,2.0,4.0,2.0,1.0,2.0,3.0,0.0,4.0,6.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-04-18
108,0.0,8.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2015-04-19
109,1.0,21.0,8.0,2.0,4.0,6.0,3.0,15.0,0.0,0.0,1.0,4.0,4.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2015-04-20
110,1.0,40.0,14.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,4.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,2015-04-21
111,0.0,30.0,7.0,6.0,1.0,3.0,4.0,1.0,2.0,0.0,3.0,4.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-04-22
112,1.0,16.0,3.0,7.0,0.0,1.0,0.0,15.0,0.0,0.0,3.0,8.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2015-04-23
113,1.0,22.0,12.0,1.0,2.0,12.0,1.0,14.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-04-24
114,0.0,27.0,16.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2015-04-25
115,0.0,10.0,1.0,8.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-04-26
116,0.0,22.0,3.0,1.0,10.0,3.0,6.0,3.0,0.0,1.0,3.0,0.0,11.0,15.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,2015-04-27
117,0.0,35.0,3.0,9.0,3.0,1.0,1.0,5.0,0.0,3.0,1.0,5.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2015-04-28
118,0.0,24.0,2.0,6.0,0.0,5.0,2.0,7.0,0.0,2.0,2.0,10.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-04-29
119,0.0,28.0,10.0,10.0,3.0,8.0,1.0,7.0,4.0,2.0,9.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-04-30
120,5.0,17.0,3.0,1.0,1.0,6.0,4.0,6.0,0.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,2015-05-01
121,0.0,32.0,11.0,0.0,2.0,1.0,4.0,6.0,1.0,0.0,7.0,10.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-05-02
122,1.0,4.0,2.0,0.0,0.0,6.0,1.0,5.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2015-05-03
123,0.0,18.0,9.0,2.0,1.0,6.0,0.0,2.0,1.0,0.0,4.0,9.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2015-05-04
124,0.0,24.0,8.0,1.0,0.0,6.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,2015-05-05
125,0.0,31.0,22.0,8.0,0.0,5.0,3.0,5.0,0.0,0.0,3.0,6.0,5.0,4.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,2015-05-06
126,0.0,27.0,14.0,2.0,3.0,2.0,0.0,5.0,1.0,3.0,5.0,4.0,2.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2015-05-07
127,3.0,24.0,11.0,3.0,2.0,5.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-05-08
128,0.0,43.0,15.0,2.0,0.0,1.0,0.0,7.0,3.0,2.0,5.0,8.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-05-09
129,0.0,23.0,3.0,7.0,1.0,7.0,1.0,9.0,6.0,0.0,6.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-05-10
130,0.0,22.0,2.0,2.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,16.0,0.0,7.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2015-05-11
131,0.0,19.0,7.0,3.0,0.0,5.0,5.0,6.0,0.0,2.0,0.0,4.0,0.0,10.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2015-05-12
132,0.0,26.0,14.0,12.0,1.0,6.0,1.0,5.0,0.0,1.0,7.0,10.0,9.0,6.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,2015-05-13
133,0.0,27.0,3.0,3.0,2.0,8.0,0.0,5.0,1.0,1.0,5.0,13.0,6.0,13.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2015-05-14
134,0.0,26.0,1.0,1.0,3.0,4.0,5.0,3.0,0.0,9.0,8.0,3.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2015-05-15
135,0.0,34.0,4.0,1.0,1.0,10.0,2.0,6.0,0.0,0.0,10.0,1.0,1.0,6.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,2015-05-16
136,0.0,12.0,6.0,1.0,0.0,8.0,1.0,3.0,0.0,5.0,7.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-05-17
137,0.0,12.0,3.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-05-18
138,3.0,16.0,9.0,2.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2015-05-19
139,0.0,33.0,12.0,3.0,1.0,4.0,1.0,6.0,4.0,2.0,0.0,13.0,9.0,5.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2015-05-20
140,1.0,16.0,7.0,3.0,3.0,5.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2015-05-21
141,0.0,7.0,2.0,0.0,0.0,2.0,1.0,7.0,0.0,2.0,4.0,2.0,9.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-05-22
142,0.0,21.0,7.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2015-05-23
